INSERT INTO 'mydb'.'User' ('userID','email',`password`,`username`,`birthdate`,`avatarURL`) VALUES
(NULL,'asbestos@gmail.com','771066932','asbestos','1982-08-27','http://i.imgur.com/NYrKV.gif'),
(NULL,'intire@gmail.com','-843539360','intire','1975-03-21','http://i.imgur.com/NYrKV.gif'),
(NULL,'beamengine@gmail.com','-302812132','beam engine','1976-11-20','http://i.imgur.com/NYrKV.gif'),
(NULL,'swath@gmail.com','1839016341','swath','1999-10-10','http://i.imgur.com/NYrKV.gif'),
(NULL,'funnel-shaped@gmail.com','-2134830628','funnel-shaped','1978-05-16','http://i.imgur.com/NYrKV.gif'),
(NULL,'tripudiation@gmail.com','1656980700','tripudiation','1972-07-07','http://i.imgur.com/NYrKV.gif'),
(NULL,'valetdechambre@gmail.com','976343947','valet de chambre','1988-04-07','http://i.imgur.com/NYrKV.gif'),
(NULL,'besoil@gmail.com','-917917887','besoil','1978-08-06','http://i.imgur.com/NYrKV.gif'),
(NULL,'bearingcloth@gmail.com','-1511071220','bearing cloth','1975-02-27','http://i.imgur.com/NYrKV.gif'),
(NULL,'oma@gmail.com','756548108','oma','1985-08-12','http://i.imgur.com/NYrKV.gif'),
(NULL,'scut@gmail.com','-994596847','scut','1982-01-09','http://i.imgur.com/NYrKV.gif'),
(NULL,'kell@gmail.com','-774531928','kell','1976-12-27','http://i.imgur.com/NYrKV.gif'),
(NULL,'correligionist@gmail.com','-1443925670','correligionist','1990-08-24','http://i.imgur.com/NYrKV.gif'),
(NULL,'mootcourt@gmail.com','-2096552398','moot court','1994-04-01','http://i.imgur.com/NYrKV.gif'),
(NULL,'pantascopic@gmail.com','1305291314','pantascopic','1992-01-13','http://i.imgur.com/NYrKV.gif'),
(NULL,'induing@gmail.com','-92834658','induing','1999-04-06','http://i.imgur.com/NYrKV.gif'),
(NULL,'citigrade@gmail.com','-2142569638','citigrade','1980-12-28','http://i.imgur.com/NYrKV.gif'),
(NULL,'skiffling@gmail.com','1863507613','skiffling','1990-02-12','http://i.imgur.com/NYrKV.gif'),
(NULL,'inheritrix@gmail.com','1016558870','inheritrix','1987-08-16','http://i.imgur.com/NYrKV.gif'),
(NULL,'intercepting@gmail.com','1238489760','intercepting','1973-06-02','http://i.imgur.com/NYrKV.gif'),
(NULL,'pigeonpost@gmail.com','-513784844','pigeon post','1979-04-28','http://i.imgur.com/NYrKV.gif'),
(NULL,'disclaiming@gmail.com','1375798449','disclaiming','1982-02-07','http://i.imgur.com/NYrKV.gif'),
(NULL,'rollofcoins@gmail.com','202282108','roll of coins','1972-08-01','http://i.imgur.com/NYrKV.gif'),
(NULL,'nonstrictness@gmail.com','-1654680071','nonstrictness','1986-04-10','http://i.imgur.com/NYrKV.gif'),
(NULL,'sensationlevel@gmail.com','-409770247','sensation level','1986-06-21','http://i.imgur.com/NYrKV.gif'),
(NULL,'haidingerite@gmail.com','163173417','haidingerite','1988-04-11','http://i.imgur.com/NYrKV.gif'),
(NULL,'bloomingmill@gmail.com','1511174893','blooming mill','1987-08-24','http://i.imgur.com/NYrKV.gif'),
(NULL,'optocoele@gmail.com','1153088549','optocoele','1994-09-01','http://i.imgur.com/NYrKV.gif'),
(NULL,'greenapple@gmail.com','340290038','green apple','1972-04-09','http://i.imgur.com/NYrKV.gif'),
(NULL,'cosmogonies@gmail.com','-1786402148','cosmogonies','1983-01-24','http://i.imgur.com/NYrKV.gif'),
(NULL,'well-being@gmail.com','327924782','well-being','1972-01-22','http://i.imgur.com/NYrKV.gif'),
(NULL,'gagman@gmail.com','1909546613','gagman','1974-02-14','http://i.imgur.com/NYrKV.gif'),
(NULL,'molded@gmail.com','-1322154937','molded','1998-07-04','http://i.imgur.com/NYrKV.gif'),
(NULL,'embryoniferous@gmail.com','-952552386','embryoniferous','1985-01-22','http://i.imgur.com/NYrKV.gif'),
(NULL,'overbearing@gmail.com','-944961544','overbearing','1998-09-10','http://i.imgur.com/NYrKV.gif'),
(NULL,'uncooperative@gmail.com','153106164','uncooperative','1992-05-08','http://i.imgur.com/NYrKV.gif'),
(NULL,'inguinal@gmail.com','163139951','inguinal','1983-06-26','http://i.imgur.com/NYrKV.gif'),
(NULL,'bicyclepump@gmail.com','989227496','bicycle pump','1994-06-24','http://i.imgur.com/NYrKV.gif'),
(NULL,'chikara@gmail.com','1901650155','chikara','1990-01-03','http://i.imgur.com/NYrKV.gif'),
(NULL,'nutshell@gmail.com','-1225469814','nutshell','1971-12-26','http://i.imgur.com/NYrKV.gif'),
(NULL,'precellent@gmail.com','-1796906585','precellent','1990-12-21','http://i.imgur.com/NYrKV.gif'),
(NULL,'livingsoul@gmail.com','-1903426469','living soul','1985-09-14','http://i.imgur.com/NYrKV.gif'),
(NULL,'dustup@gmail.com','1282800575','dustup','1980-10-26','http://i.imgur.com/NYrKV.gif'),
(NULL,'quartos@gmail.com','-3805601','quartos','1981-01-25','http://i.imgur.com/NYrKV.gif'),
(NULL,'payon@gmail.com','674618550','pay on','1993-04-02','http://i.imgur.com/NYrKV.gif'),
(NULL,'doomster@gmail.com','1259489473','doomster','1985-08-26','http://i.imgur.com/NYrKV.gif'),
(NULL,'loathingly@gmail.com','-166513987','loathingly','1976-06-09','http://i.imgur.com/NYrKV.gif'),
(NULL,'thaw@gmail.com','958543490','thaw','1987-05-18','http://i.imgur.com/NYrKV.gif'),
(NULL,'newfangleddevice@gmail.com','-1308415232','newfangled device','1993-09-09','http://i.imgur.com/NYrKV.gif'),
(NULL,'julienne@gmail.com','-1333833100','julienne','1986-12-23','http://i.imgur.com/NYrKV.gif'),
(NULL,'artcenter@gmail.com','-709617297','art center','1983-10-13','http://i.imgur.com/NYrKV.gif'),
(NULL,'classicalscholarship@gmail.com','-372612149','classical scholarship','1976-02-23','http://i.imgur.com/NYrKV.gif'),
(NULL,'ferretto@gmail.com','-1142236959','ferretto','1994-11-14','http://i.imgur.com/NYrKV.gif'),
(NULL,'falding@gmail.com','1087127043','falding','1984-01-01','http://i.imgur.com/NYrKV.gif'),
(NULL,'losesightof@gmail.com','-330089325','lose sight of','1985-12-06','http://i.imgur.com/NYrKV.gif'),
(NULL,'treemolasses@gmail.com','830833405','tree molasses','1989-03-18','http://i.imgur.com/NYrKV.gif'),
(NULL,'sighthole@gmail.com','1044457532','sighthole','1994-01-03','http://i.imgur.com/NYrKV.gif'),
(NULL,'improbabilities@gmail.com','-1742218894','improbabilities','1995-12-01','http://i.imgur.com/NYrKV.gif'),
(NULL,'pistacia@gmail.com','-1093852587','pistacia','1989-09-18','http://i.imgur.com/NYrKV.gif'),
(NULL,'leptospirosis@gmail.com','1197145904','leptospirosis','1970-07-24','http://i.imgur.com/NYrKV.gif'),
(NULL,'circumstantiating@gmail.com','-1166736305','circumstantiating','1994-10-12','http://i.imgur.com/NYrKV.gif'),
(NULL,'irradiancy@gmail.com','-2032484926','irradiancy','1988-01-21','http://i.imgur.com/NYrKV.gif'),
(NULL,'infixion@gmail.com','1438736062','infixion','1997-12-17','http://i.imgur.com/NYrKV.gif'),
(NULL,'gamewarden@gmail.com','1449099630','game warden','1971-03-21','http://i.imgur.com/NYrKV.gif'),
(NULL,'unhearable@gmail.com','1981828042','unhearable','1982-06-10','http://i.imgur.com/NYrKV.gif'),
(NULL,'labored@gmail.com','422311345','labored','1972-03-25','http://i.imgur.com/NYrKV.gif'),
(NULL,'giveventto@gmail.com','-1060810649','give vent to','1973-04-27','http://i.imgur.com/NYrKV.gif'),
(NULL,'parodied@gmail.com','-1989744740','parodied','1980-06-13','http://i.imgur.com/NYrKV.gif'),
(NULL,'lapatrie@gmail.com','1365157152','la patrie','1972-06-01','http://i.imgur.com/NYrKV.gif'),
(NULL,'meseemed@gmail.com','-16476733','meseemed','1985-01-04','http://i.imgur.com/NYrKV.gif'),
(NULL,'dumpiness@gmail.com','1179015539','dumpiness','1986-01-26','http://i.imgur.com/NYrKV.gif'),
(NULL,'dovecot@gmail.com','-1275668836','dovecot','1988-02-12','http://i.imgur.com/NYrKV.gif'),
(NULL,'hyleosaur@gmail.com','-1959177956','hyleosaur','1990-04-16','http://i.imgur.com/NYrKV.gif'),
(NULL,'unleashing@gmail.com','-1182537343','unleashing','1979-10-22','http://i.imgur.com/NYrKV.gif'),
(NULL,'diffusible@gmail.com','1492101308','diffusible','1986-02-28','http://i.imgur.com/NYrKV.gif'),
(NULL,'octal@gmail.com','100838320','octal','1979-01-06','http://i.imgur.com/NYrKV.gif'),
(NULL,'poaching@gmail.com','-994136137','poaching','1997-01-27','http://i.imgur.com/NYrKV.gif'),
(NULL,'sundered@gmail.com','-580052480','sundered','1996-08-15','http://i.imgur.com/NYrKV.gif'),
(NULL,'widdershins@gmail.com','-1894652084','widdershins','1991-09-02','http://i.imgur.com/NYrKV.gif'),
(NULL,'preservatory@gmail.com','-1484074718','preservatory','1997-09-09','http://i.imgur.com/NYrKV.gif'),
(NULL,'prepollices@gmail.com','1492675369','prepollices','1997-09-16','http://i.imgur.com/NYrKV.gif'),
(NULL,'whimling@gmail.com','1066561957','whimling','1992-10-01','http://i.imgur.com/NYrKV.gif'),
(NULL,'maritalrelations@gmail.com','-2069275121','marital relations','1972-03-12','http://i.imgur.com/NYrKV.gif')
